category	key	tree_id	tree_name_en	tree_name_ko	english	korean	desc_en	desc_ko
ability	Abilities.Ability_AbyssalEchoes_Name				"Abyssal Echoes"	"심연의 메아리"	"A nova that echoes from up to 8 enemies it reaches and applies abyssal decay. Enemies with abyssal decay take void damage over time for 5 seconds, if they take a hit all the damage from abyssal decay is dealt to them immediately."	"노바 하나를 시전하고 접촉한 최대 8명의 적군 몸에 에코 하여 동시에 적군에게 심연 부패를 시전합니다. 심연의 부패에 걸린 적군은 공허 지속 피해를 입으며 5초 동안 지속되어 이 기간에 타격을 받으면 심연 부패의 남은 피해가 즉시 계산할 것입니다."
ability	Abilities.Ability_SerpentStrike_Name				"Serpent Strike"	"뱀의 맹공"	"Requires a spear.  A melee attack with 140% poison chance.  Poisons inflicted by serpent strike last 40% longer."	"창이 필요합니다.  독 확률이 140%인 근접 공격입니다.  뱀이 적용한 독은 40% 오래 지속됩니다."
ability	Abilities.Ability_MarkForDeath_Name				"Mark For Death"	"죽음의 표식"	"Curses the enemy, reducing all resistances by 25% for 8 seconds. This effect does not stack."	"적을 저주해 8초 동안 모든 저항을 25% 감소시킵니다. 이 효과는 중첩되지 않습니다."
ability	Abilities.Ability_HolyFlameBurst_Name				"Holy Flame Burst"	"성스러운 불꽃 폭발"	"Creates a burst of holy fire around you."	"주변에 성스러운 불꽃을 폭발시킵니다."
ability	Abilities.Ability_PoisonNova_Name				"Poison Nova"	"독 노바"	"Unleash a nova that poisons enemies, and has 25% increased effect of poison."	"적에게 독을 적용하는 노바를 일으킵니다. 이 독은 효과가 25% 증가합니다."
ability	Abilities.Ability_Avalanche Fissure_Name				"Fissure"	"균탁"	"Open a fissure underneath your enemies, dealing physical damage over time for 4 seconds."	"적군의 발 밑에 균열 하나를 열어 4초 동안 지속된 물리 지속 피해를 일으킵니다."
ability	Abilities.Ability_FireballAoe_Name				"Flame Burst"	"불꽃 폭발"	"A burst of flame that deals high damage in an area around the target."	"대상 주변 지역에 고적 피해를 입히는 화염 폭발을 발생시킵니다. "
ability	Abilities.Ability_SparkChargeExplosion_Name				"Spark Charge"	"전류 충전"	"Spark charges explode after 1 second dealing lightning damage to nearby enemies. Spark charges automatically detonate when the enemy they are attached to dies."	"전류 충전이 1초 뒤 폭발하며 인근 적에게 번개 피해를 입힙니다. 전류 충전이 부착된 적이 사망하는 경우, 전류 충전이 자동으로 폭발합니다."
ability	Abilities.Ability_BoneCurse_Name				"Bone Curse"	"뼈의 저주"	"Apply a curse to enemies in an area for 8 seconds that causes physical damage when hit. The damage is tripled if you inflicted the hit yourself."	"지역 내의 적에게 8초 동안 저주를 걸어 적중 시 물리 피해를 입힙니다. 만일 공격을 직접 가했다면 피해가 세 배로 증폭됩니다."
ability	Abilities.Ability_SpiritPlague_Name				"Spirit Plague"	"영혼 역병"	"Curses a target with a powerful necrotic damage over time effect which lasts 3 seconds. Spreads to a single nearby target on target death."	"3초 동안 지속되는 강력한 괴사 지속 피해 효과로 대상에게 저주를 겁니다. 대상 사망 시, 인근에 있는 하나의 다른 적에게 퍼집니다."
ability	Abilities.Ability_DoomBrandExplosion_Name				"Doom Brand"	"파멸 낙인"	"A brand that persists on its target indefinitely. When the target dies, the Doom Brand erupts, dealing necrotic damage in an area around it."	"대상에게 지속적으로 낙인을 부착합니다. 대상이 사망 시 '{'파멸의 낙인'}'이 폭발하여 주변에 괴사 피해를 입힙니다."
ability	Abilities.Ability_ShadowDaggersFinisher_Name				"Shadow Daggers"	"그림자 단검"	"Upon reaching 4 stacks of Shadow Daggers, the Daggers plunge into the target, dealing physical damage. This damage always critically strikes."	"그림자 단검 4회 중첩 시, 단검이 대상에게 꽂히며 물리 피해를 입힙니다. 이 피해는 항상 치명타로 적용됩니다."
ability	Abilities.Ability_Smoke Bomb_Name				"Smoke Bomb"	"연막탄"	"Drop a Smoke Bomb at your feet that blinds enemies and grants you haste while you remain inside it. The Smoke Bomb grows in size over its duration. Lasts 4 seconds."	"땅에 연막탄을 떨어트려 적을 실명시키고, 연막 안에 머무는 동안 기민을 획득합니다. 시간이 흐를수록 연막탄의 크기가 커집니다. 4초 동안 지속됩니다."
